#parname, median value, upper errorbar, lower errorbar
mstar_0,1.327,0.064,0.064
rstar_0,1.467,0.031,0.030
rstarsed_0,1.468,0.017,0.017
lstar_0,2.776,0.090,0.098
fbol_0,0.00000001369,0.00000000041,0.00000000047
rhostar_0,0.592,0.050,0.047
logg_0,4.228,0.029,0.029
teff_0,6148,63,64
teffsed_0,6154,46,61
feh_0,0.364,0.071,0.073
initfeh_0,0.388,0.059,0.064
age_0,2.3,1.3,1.1
eep_0,349,36,17
logmstar_0,0.123,0.020,0.021
Av_0,0.086,0.028,0.043
errscale_0,1.20,0.39,0.26
parallax_0,12.414,0.077,0.078
distance_0,80.55,0.51,0.50
Period_0,9.978549,0.000014,0.000014
rp_0,0.1982,0.0077,0.0064
mp_0,0.20,0.50,0.50
mpsun_0,0.00019,0.00048,0.00048
tc_0,2456979.9338,0.0019,0.0020
tt_0,2456979.9339,0.0017,0.0018
t0_0,2457678.4322,0.0016,0.0017
a_0,0.0997,0.0016,0.0016
ideg_0,87.93,1.4,0.99
e_0,0.45,0.29,0.15
omegadeg_0,70,87,79
teq_0,1137,12,12
tcirc_0,500,28000,6300
k_0,18,49,47
p_0,0.01386,0.00047,0.00034
ar_0,14.60,0.40,0.40
delta_0,0.0001922,0.000013,0.0000093
depth_0,0.0001922,0.000013,0.0000093
tau_0,0.00224,0.00094,0.00021
t14_0,0.1492,0.0035,0.0036
tfwhm_0,0.1466,0.0034,0.0035
b_0,0.31,0.28,0.21
cosi_0,0.036,0.017,0.024
bs_0,0.41,0.33,0.28
taus_0,0.0040,0.0014,0.0020
t14s_0,0.181,0.092,0.054
tfwhms_0,0.177,0.092,0.053
eclipsedepth36_0,5.25,0.42,0.33
eclipsedepth45_0,8.39,0.64,0.49
rhop_0,31,79,79
logp_0,0.99906739,0.00000060,0.00000063
loggp_0,4.42,0.29,0.49
safronov_0,0.15,0.38,0.38
fave_0,0.312,0.037,0.079
tp_0,2456979.96,0.53,0.58
ts_0,2456980.2,3.6,3.7
ta_0,2456988.46,0.98,1.4
td_0,2456971.40,1.4,0.98
vcve_0,0.714,0.12,0.044
ecosw_0,-0.01,0.54,0.57
esinw_0,0.18,0.15,0.29
secosw_0,-0.02,0.74,0.73
sesinw_0,0.29,0.25,0.43
msini_0,0.20,0.50,0.50
q_0,0.00015,0.00036,0.00036
dr_0,9.1,2.2,2.2
pt_0,0.109,0.035,0.021
ptg_0,0.112,0.036,0.022
ps_0,0.067,0.095,0.014
psg_0,0.069,0.098,0.015
u1_0,0.374,0.051,0.051
u2_0,0.306,0.050,0.050
u1_1,0.067,0.047,0.040
u2_1,0.141,0.050,0.050
u1_2,0.260,0.036,0.036
u2_2,0.303,0.036,0.035
dilute_2,-0.127,0.087,0.091
variance_0,-0.00000000007,0.00000000022,0.00000000018
f0_0,0.9999975,0.0000041,0.0000041
variance_1,-0.0000000027,0.0000000083,0.0000000077
f0_1,1.000033,0.000016,0.000016
variance_2,-0.0000000019,0.0000000049,0.0000000046
f0_2,1.000013,0.000012,0.000012
variance_3,0.000000076,0.000000011,0.000000011
f0_3,1.000084,0.000012,0.000012
