,BJD,vrad,svrad
0,57254.59375,-17424.220703125,1.0299999713897705
1,57257.578125,-17422.44921875,1.149999976158142
2,57267.62109375,-17423.4296875,1.1699999570846558
3,57269.55859375,-17425.69921875,1.25
4,57270.54296875,-17426.490234375,0.8700000047683716
5,57271.546875,-17426.330078125,0.8600000143051147
6,57272.5859375,-17426.08984375,1.0099999904632568
7,57301.4765625,-17429.740234375,1.0099999904632568
8,57302.48046875,-17426.169921875,1.190000057220459
9,57321.4453125,-17428.880859375,1.7799999713897705
10,57322.453125,-17418.390625,0.8500000238418579
11,57325.3046875,-17415.5703125,1.0499999523162842
12,57330.33203125,-17419.759765625,1.0399999618530273
13,57331.33203125,-17417.69921875,1.059999942779541
14,57332.33203125,-17421.810546875,1.159999966621399
15,57336.33203125,-17421.08984375,1.0399999618530273
16,57353.3359375,-17416.400390625,2.9100000858306885
17,57354.3359375,-17428.529296875,3.6700000762939453
18,57354.35546875,-17416.869140625,1.2400000095367432
19,57356.296875,-17418.880859375,1.4199999570846558
20,57380.30078125,-17425.419921875,1.2899999618530273
21,57381.30078125,-17427.609375,1.7400000095367432
22,57382.296875,-17424.359375,1.1100000143051147
23,57384.30078125,-17421.919921875,1.6200000047683716
24,57559.71875,-17426.119140625,1.1699999570846558
25,57560.69921875,-17425.58984375,1.149999976158142
26,57562.7109375,-17424.869140625,1.2599999904632568
27,57563.703125,-17428.44921875,1.350000023841858
28,57564.71875,-17426.83984375,1.2699999809265137
29,57565.70703125,-17425.630859375,1.350000023841858
30,57566.71875,-17418.419921875,1.0499999523162842
31,57573.703125,-17419.5703125,1.2000000476837158
32,57574.68359375,-17421.2890625,1.1299999952316284
33,57574.734375,-17425.33984375,0.9599999785423279
34,57576.66796875,-17422.970703125,0.9599999785423279
35,57576.734375,-17421.83984375,1.059999942779541
36,57578.65625,-17418.349609375,3.390000104904175
37,57579.6484375,-17430.349609375,2.5899999141693115
38,57579.73046875,-17424.2109375,2.759999990463257
39,57616.54296875,-17412.140625,1.9800000190734863
40,57616.6171875,-17417.2109375,1.5399999618530273
41,57617.55078125,-17421.19921875,1.0
42,57617.62109375,-17420.119140625,0.8600000143051147
43,57618.546875,-17418.869140625,1.190000057220459
44,57618.62109375,-17420.240234375,0.9300000071525574
45,57651.4296875,-17422.130859375,0.9200000166893005
46,57651.5234375,-17423.01953125,1.0099999904632568
47,57652.4296875,-17420.240234375,0.9399999976158142
48,57652.52734375,-17421.75,0.9300000071525574
49,57653.43359375,-17421.0390625,1.25
50,57653.52734375,-17421.619140625,1.0199999809265137
51,57654.43359375,-17419.80078125,1.2400000095367432
52,57654.53125,-17420.83984375,1.1799999475479126
53,57655.5078125,-17421.009765625,2.5
54,57656.4375,-17417.7109375,1.4700000286102295
55,57656.515625,-17420.900390625,2.0399999618530273
56,57657.4296875,-17421.529296875,1.840000033378601
57,57657.52734375,-17417.5703125,2.380000114440918
58,57658.453125,-17423.6796875,1.809999942779541
59,57658.52734375,-17423.220703125,1.5299999713897705
60,57659.5,-17420.470703125,0.9399999976158142
61,57661.41796875,-17417.109375,0.9300000071525574
62,57661.5078125,-17419.640625,1.1799999475479126
63,57669.42578125,-17425.30078125,1.1799999475479126
64,57669.52734375,-17429.51953125,1.4700000286102295
65,57670.42578125,-17415.19921875,1.3899999856948853
66,57670.51171875,-17421.060546875,1.0499999523162842
67,57671.41796875,-17420.369140625,0.9200000166893005
68,57671.5078125,-17423.01953125,0.8799999952316284
69,57672.421875,-17418.240234375,0.8999999761581421
70,57672.5078125,-17416.55078125,0.7799999713897705
71,57673.41796875,-17418.94921875,1.0800000429153442
72,57673.5078125,-17417.859375,1.0800000429153442
